"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
"K","92","02","CSX","029221046","92","02","ATK","20205MWD04","92","02","CSX","029221046",,"341143N","92","02","05",7.00,24.00,"AM","07",0.00,0.00,0.00,0.00,"CHICAGO","DYER","316","18",32.00,"4","1","000",,,,0.00,,,"MAIN","4",,"1",,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"M399",,0.00,0.00,1.00,0.00,"M399","1","4","079",81594.00,,"18C089",0.00,"000000",0.00,,,,,,,,,"2","4",,"1L","0","CHICAG","O",88.00,"0377","1992",0.00,0.00,0.00,0.00,0.00,0.00,"LAKE","089",,,,"N",,,"AMTRAK 318 WAS STRUCK BY AUTO WHICH SLID ACROSS CROSSING - AMTRAK ENGINE DAMAGE $35.500.",,,,,,,,,,,,,,,,,,,,,,,
,"92","02","CSX","029221047",,,,,"92","02","CSX","029221047",,,"92","02","25",1.00,20.00,"AM","01",21.00,3.00,0.00,0.00,"CHICAGO","DANVILLE","1270","17",25.00,"4","1","009","E","Y601","1",0.00,"7","Y","EAST YARD B","1",,"2","UTLX","065611","020","Y",,,,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,30.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,10350.00,2000.00,"M599",,0.00,0.00,0.00,0.00,"M599","2","1","009",12350.00,,"17C183",0.00,"000000",0.00,"1","0","1","1","01","21","01","21","1","4",,"1L","1","CHICAG","ENM",98.00,"0378","1992",0.00,0.00,0.00,0.00,0.00,0.00,"VERMILION","183",,,,"N",,,"CREW WAS SHOVING 51 CARS TOWARDS B. ENTERED TRACK, 20TH CAR DERAILED AND THE NEXT 5 CARS FOLLOWED.",,,,,,,,,,,,,,,,,,,,,,,
,"92","12","WC","G2038",,,,,"92","12","WC","G2038",,,"92","12","01",5.00,15.00,"AM","01",0.00,0.00,0.00,0.00,"WESTERN","TOMAHAWK","VY133","55",17.00,"4","2","005","E","LO16","3",3510.00,"1","Y","SINGLE MAIN","1","000.78","1","WC","055172","037","N",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,27.00,0.00,0.00,6.00,0.00,4.00,0.00,0.00,35200.00,11500.00,"T110",,0.00,0.00,0.00,0.00,"T110","1","1","005",46700.00,,"55C069",0.00,"000000",0.00,"1","0","1","0","08","15","08","15","1","4",,"3L","0","WESTER","N",110.00,"3126","1992",0.00,0.00,0.00,0.00,0.00,0.00,"LINCOLN","069",,,,"N",,,"DEPARTING STATION AFTER MAKING SET OUT WHEN CARS DERAILED DUE TO WIDE GAGE ACCOUNT DETERIORATED TIED","CONDITION.",,,,,,,,,,,,,,,,,,,,,,
,"92","12","WC","G2040",,,,,"92","12","WC","G2040",,,"92","12","01",11.00,5.00,"AM","02",0.00,0.00,0.00,0.00,"WESTERN","STONE LAKE","384.9","55",24.00,"2","6","004","E",,"3",0.00,"5","N","SINGLE MAIN","3","001.26","1","MOWE","008317","001","N",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6500.00,0.00,"H402",,0.00,0.00,0.00,0.00,"H402","1","3","020",7000.00,,"55C129",0.00,"000000",0.00,"0","0","0","0",,,,,"1","4",,"3L","0","WESTER","M",230.00,"3128","1992",0.00,0.00,0.00,0.00,0.00,0.00,"WASHBURN","129",,,,"N",,,"THIS REPORT PERTAINS TO HI-RAIL VEHICLE #8317 WHICH WAS ON MAIN LINE AND STRUCK HEAD ON BY OPPOSING","HI-RAIL #8859. ACCIDENT HAPPENED ON A CURVE AND RAIL WAS COVERED WITH SNOW. VEHICLE 8859 UNABLE TO S","TOP IN TIME TO AVOID ACCIDENT.",,,,,,,,,,,,,,,,,,,,,
,"92","12","UP","1292NP011",,,,,"92","12","UP","1292NP011",,,"92","12","15",12.00,25.00,"PM","12",0.00,0.00,0.00,0.00,"NORTH PLATTE","NORTH PLATTE WEST","288.5","31",30.00,"2","2","004","E","1515","3",0.00,"1","Y","YARD","4",,"2","DTTA","062676","001","Y",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3200.00,0.00,"H306",,0.00,0.00,0.00,0.00,"H306","2","4","006",6900.00,,"31C111",0.00,"000000",0.00,"1","0","1","1","05","25","05","25","1","6","W","1L","0","NORPLA","N",129.00,"3115","1992",0.00,0.00,0.00,0.00,0.00,0.00,"LINCOLN","111",,,,"N",,,"HUMP CREW WAS EASING BOWL 30 DOWN AND SHOVED INTO SIDE OF TRIM NPLAZ OUT OF BOWL 26, PUTTING ONE CAR","ON SIDE AND DERAILING 3 CARS.",,,,,,,,,,,,,,,,,,,,,,
,"92","12","UP","1292NP011",,,,,"92","12","UP","1292NP011",,,"92","12","15",12.00,25.00,"PM","12",0.00,0.00,0.00,0.00,"NORTH PLATTE","NORTH PLATTE WEST","288.5","31",30.00,"2","2","006","E","1915","3",0.00,"1","Y","YARD","4",,"2","TTWX","983180","018","Y",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,3700.00,0.00,"H306",,0.00,0.00,0.00,0.00,"H306","2","4","006",6900.00,,"31C111",0.00,"000000",0.00,"1","0","1","1","04","55","04","55","3","6","W","1L","0","NORPLA","N",129.00,"3116","1992",0.00,0.00,0.00,0.00,0.00,0.00,"LINCOLN","111",,,,"N",,,"HUMP CREW WAS EASING BOWL 30 DOWN AND SHOVED INTO SIDE OF TRIM NPLAZ OUT OF BOWL 26, PUTTING ONE CAR","ON SIDE AND DERAILING 3 CARS.",,,,,,,,,,,,,,,,,,,,,,
,"92","12","UP","1292NP015",,,,,"92","12","UP","1292NP015",,,"92","12","29",9.00,55.00,"AM","12",0.00,0.00,0.00,0.00,"NORTH PLATTE","NORTH PLATTE WEST","287.7","31",6.00,"2","2","013","E","29","4",3503.00,"1","Y","YARD","4",,"2","ETTX","810301","039","Y",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,9000.00,2218.00,"M405",,0.00,0.00,0.00,0.00,"M405","2","4","013",11218.00,,"31C111",0.00,"000000",0.00,"1","0","1","0","01","25","01","25","1","6","W","1L","0","NORPLA","N",219.00,"3117","1992",0.00,0.00,0.00,0.00,0.00,0.00,"LINCOLN","111",,,,"N",,,"NPLAZ-29 WAS DEPARTING FROM YARD TRACK 220. THE FOURTH CAR FROM THE REAR, ETTX 810301, OF A 39 CAR C","ONSIST DERAILED AT THE SWITCH FROM THE HUMP PULLBACK CROSSOVER TO THE NORTH LOOP TRACK DUE TO VERTIC","AL WHEEL UNLOADING.",,,,,,,,,,,,,,,,,,,,,
,"92","12","UP","1292RR008",,,,,"92","12","UP","1292RR008",,,"92","12","10",3.00,30.00,"AM","01",0.00,0.00,0.00,0.00,"RED RIVER","BAUJCT","364.0","05",40.00,"4","2","006","E","09","2",4484.00,"1","Y","YARD","1",,"2","ETTX","901337","062","N",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,82.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,9000.00,6140.00,"T311",,0.00,0.00,0.00,0.00,"T311","2","1","006",15140.00,,"05C125",0.00,"000000",0.00,"1","0","1","0","10","00","10","00","1","5","W","1L","0","REDRIV","NI",156.00,"3118","1992",0.00,0.00,0.00,0.00,0.00,0.00,"SALINE","125",,,,"N",,,"SHNL3-09 SHOVING TRACK #3 NORTH END BAUXITE WHEN DERAILED CAR ETTX 901337 AND 6 OTHERS ACCOUNT GAPPE","D POINT, ALSO CORNERED CAR PLCX 22005 IN ADJACENT TRACK.",,,,,,,,,,,,,,,,,,,,,,
,"92","12","UP","1292RR008",,,,,"92","12","UP","1292RR008",,,"92","12","10",3.00,30.00,"AM","01",0.00,0.00,0.00,0.00,"RED RIVER","BAUJCT","364.0","05",40.00,"4","2","000","R","CAR","1",0.00,"5","N","CROSS-OVER","1",,"2","PLCX","022005","001","N",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"T311",,0.00,0.00,0.00,0.00,"T311","2","1","006",15140.00,,"05C125",0.00,"000000",0.00,"0","0","0","0",,,,,"3","5","W","1L","0","REDRIV","NI",156.00,"3119","1992",0.00,0.00,0.00,0.00,0.00,0.00,"SALINE","125",,,,"N",,,"SHNL3-09 SHOVING TRACK #3 NORTH END BAUXITE WHEN DERAILED CAR ETTX 901337 AND 6 OTHERS ACCOUNT GAPPE","D POINT, ALSO CORNERED CAR PLCX 22005 IN ADJACENT TRACK.",,,,,,,,,,,,,,,,,,,,,,
,"92","12","UP","1292RR011",,,,,"92","12","UP","1292RR011",,,"92","12","21",3.00,0.00,"AM","01",0.00,0.00,0.00,0.00,"RED RIVER","REISOR","324.0","22",50.00,"4","4","001","E","0621","2",3450.00,"7","Y","YARD","1",,"2","TTGX","976025","030","N",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,55.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1900.00,9157.00,"H504",,0.00,0.00,0.00,0.00,"H504","2","1","001",11057.00,,"22C017",0.00,"000000",0.00,"1","0","1","1","02","00","02","00","1","5","W","1L","0","REDRIV","BM",134.00,"3120","1992",0.00,0.00,0.00,0.00,0.00,0.00,"CADDO","017",,,,"N",,,"LRE0621 PICKED UP TRACK #11, DOUBLED TO TRACK #10, AND STOPPED TO MAKE CUT WHEN DERAILED TTGX 976025","AND 4 OTHERS ACCOUNT SLACK ACTION.",,,,,,,,,,,,,,,,,,,,,,
